Feature,Score,P_value
Feature_19861,32.454475,1.3558087e-08
Feature_20116,32.454243,1.355969e-08
Feature_20200,32.45377,1.3562951e-08
Feature_20242,32.4535,1.3564819e-08
Feature_19693,32.45299,1.3568317e-08
Feature_19269,32.45269,1.35703955e-08
Feature_19483,32.45222,1.3573632e-08
Feature_20071,32.45058,1.35849545e-08
Feature_19227,32.45026,1.3587167e-08
Feature_19567,32.44974,1.3590751e-08
Feature_19987,32.449516,1.3592305e-08
Feature_19945,32.4475,1.3606255e-08
Feature_19651,32.446106,1.3615888e-08
Feature_19357,32.445843,1.361771e-08
Feature_19689,32.445374,1.3620958e-08
Feature_19647,32.445175,1.3622331e-08
Feature_19479,32.445038,1.3623282e-08
Feature_19731,32.44487,1.3624445e-08
Feature_19903,32.44473,1.3625422e-08
Feature_19899,32.44442,1.3627562e-08
Feature_19311,32.444054,1.3630099e-08
Feature_19773,32.443848,1.3631526e-08
Feature_20029,32.44372,1.3632398e-08
Feature_19395,32.44344,1.3634355e-08
Feature_19815,32.443222,1.3635861e-08
Feature_19437,32.442776,1.3638956e-08
Feature_19941,32.441383,1.3648612e-08
Feature_19605,32.440834,1.3652423e-08
Feature_19857,32.439278,1.3663228e-08
Feature_19353,32.438717,1.3667123e-08
Feature_20146,32.438107,1.36713645e-08
Feature_19983,32.43793,1.3672584e-08
Feature_20025,32.436726,1.3680964e-08
Feature_20188,32.436256,1.3684227e-08
Feature_20104,32.43621,1.3684545e-08
Feature_20067,32.43619,1.3684678e-08
Feature_20230,32.435722,1.3687942e-08
Feature_20356,32.435196,1.3691605e-08
Feature_20272,32.434742,1.3694765e-08
Feature_20182,32.434193,1.369859e-08
Feature_20140,32.434185,1.3698642e-08
Feature_20098,32.434135,1.3698988e-08
Feature_20308,32.43391,1.3700555e-08
Feature_20314,32.433826,1.370114e-08
Feature_20224,32.433674,1.3702202e-08
Feature_20350,32.433674,1.3702202e-08
Feature_19563,32.43342,1.3703983e-08
Feature_19521,32.433353,1.3704434e-08
Feature_20266,32.4322,1.3712462e-08
Feature_20172,32.432114,1.3713073e-08
Feature_20092,32.431686,1.3716051e-08
Feature_20176,32.43138,1.37181795e-08
Feature_20130,32.43119,1.371951e-08
Feature_19421,32.431065,1.37203875e-08
Feature_20214,32.43083,1.3722037e-08
Feature_20134,32.430786,1.372233e-08
Feature_20260,32.430214,1.3726321e-08
Feature_20218,32.43001,1.3727733e-08
Feature_20256,32.42989,1.37285845e-08
Feature_20302,32.429695,1.3729942e-08
Feature_19379,32.429344,1.3732391e-08
Feature_20088,32.429287,1.3732791e-08
Feature_20344,32.428967,1.3735028e-08
Feature_19463,32.428722,1.3736733e-08
Feature_20340,32.427402,1.3745952e-08
Feature_19337,32.42573,1.37576315e-08
Feature_20298,32.425602,1.3758538e-08
Feature_19673,32.424236,1.3768092e-08
Feature_19631,32.4242,1.3768359e-08
Feature_19295,32.422977,1.3776905e-08
Feature_19547,32.419586,1.3800674e-08
Feature_19757,32.418407,1.3808946e-08
Feature_19253,32.417324,1.3816552e-08
Feature_19505,32.41538,1.3830223e-08
Feature_19799,32.415146,1.3831859e-08
Feature_19715,32.41504,1.383261e-08
Feature_20258,32.413795,1.38413565e-08
Feature_20174,32.413563,1.3842994e-08
Feature_20090,32.413143,1.38459475e-08
Feature_20132,32.412426,1.3850996e-08
Feature_20342,32.411617,1.3856691e-08
Feature_20300,32.41133,1.3858706e-08
Feature_20216,32.410496,1.3864592e-08
Feature_20051,32.40868,1.3877395e-08
Feature_19211,32.408413,1.3879279e-08
Feature_20304,32.408016,1.3882079e-08
Feature_20346,32.405655,1.38987515e-08
Feature_19589,32.404472,1.3907108e-08
Feature_20262,32.40413,1.3909536e-08
